bairro, quantidade
Abolição, 0
Acari, 0
Água Santa, 0
Alto da Boa Vista, 21
Anchieta, 0
Andaraí, 0
Anil, 0
Bancários, 0
Bangu, 11
Barra da Tijuca, 0
Barra de Guaratiba, 5
Barros Filho, 0
Benfica, 8
Bento Ribeiro, 1
Bonsucesso, 8
Botafogo, 39
Brás de Pina, 0
Cachambi, 4
Cacuia, 2
Caju, 0
Camorim, 0
Campinho, 0
Campo dos Afonsos, 0
Campo Grande, 45
Cascadura, 2
Catete, 0
Catumbi, 6
Cavalcanti, 0
Centro, 256
Cidade de Deus, 0
Cidade Nova, 7
Cidade Universitária, 1
Cocotá, 3
Coelho Neto, 1
Colégio, 0
Complexo do Alemão, 0
Copacabana, 46
Cordovil, 2
Cosme Velho, 8
Cosmos, 3
Costa Barros, 0
Curicica, 0
Del Castilho, 0
Deodoro, 0
Encantado, 0
Engenheiro Leal, 0
Engenho da Rainha, 0
Engenho de Dentro, 5
Engenho Novo, 0
Estácio, 0
Flamengo, 18
Freguesia (Ilha do Governador), 3
Freguesia (Jacarepaguá), 1
Galeão, 4
Gamboa, 18
Gardênia Azul, 0
Gericinó, 0
Gávea, 31
Glória, 81
Grajaú, 4
Grumari, 1
Guadalupe, 0
Guaratiba, 0
Higienópolis, 0
Honório Gurgel, 1
Humaitá, 4
Ilha de Guaratiba, 0
Inhaúma, 2
Inhoaíba, 3
Ipanema, 19
Irajá, 6
Itanhangá, 0
Jabour, 0
Jacarepaguá, 12
Jacarezinho, 0
Jacaré, 0
Jardim América, 0
Jardim Botânico, 4
Jardim Carioca, 2
Jardim Guanabara, 6
Jardim Sulacap, 3
Joá, 0
Lagoa, 50
Lapa, 0
Laranjeiras, 15
Leblon, 36
Leme, 8
Lins de Vasconcelos, 0
Madureira, 12
Magalhães Bastos, 0
Mangueira, 0
Manguinhos, 0
Maracanã, 4
Marechal Hermes, 2
Maria da Graça, 0
Maré, 0
Méier, 12
Moneró, 0
Olaria, 1
Oswaldo Cruz, 1
Paciência, 1
Padre Miguel, 3
Paquetá, 58
Parada de Lucas, 0
Parque Anchieta, 0
Parque Colúmbia, 0
Parque Nacional da Tijuca, 90
Pavuna, 3
Pechincha, 0
Pedra de Guaratiba, 6
Penha, 12
Penha Circular, 0
Piedade, 0
Pilares, 2
Pitangueiras, 1
Portuguesa, 2
Praia da Bandeira, 0
Praça da Bandeira, 0
Praça Seca, 0
Quintino Bocaiuva, 3
Ramos, 3
Realengo, 6
Recreio dos Bandeirantes, 11
Riachuelo, 1
Ribeira, 1
Ricardo de Albuquerque, 1
Rio Comprido, 4
Rocha, 0
Rocha Miranda, 4
Rocinha, 0
Sampaio, 0
Santa Cruz, 19
Santa Teresa, 13
Santo Cristo, 59
Santíssimo, 0
São Conrado, 4
São Cristóvão, 59
São Francisco Xavier, 0
Saúde, 2
Senador Camará, 2
Senador Vasconcelos, 1
Sepetiba, 7
Tanque, 0
Taquara, 0
Tauá, 2
Tijuca, 82
Todos os Santos, 0
Tomás Coelho, 0
Turiaçu, 1
Urca, 21
Vargem Grande, 0
Vargem Pequena, 0
Vasco da Gama, 0
Vaz Lobo, 0
Vicente de Carvalho, 1
Vidigal, 0
Vigário Geral, 1
Vila da Penha, 0
Vila Isabel, 13
Vila Kennedy, 0
Vila Kosmos, 1
Vila Militar, 9
Vila Valqueire, 0
Vista Alegre, 1
Zumbi, 1