nome,url,lat,lon
"Arcos da Lapa (Aqueduto da Carioca)","http://rioartecidade.com.br/arcos-da-lapa-aqueduto-da-carioca/",-22.912787,-43.179797
"Chafariz da Pirâmide","http://rioartecidade.com.br/chafariz-da-piramide/",-22.902683,-43.173876
"Ivens Machado (sem título)","http://rioartecidade.com.br/ivens-machado-sem-titulo/",-22.906265,-43.178697
"Mural (Cândido Portinari)","http://rioartecidade.com.br/mural/",-22.909197,-43.173754
"D. Pedro I (1798-1834)","http://rioartecidade.com.br/dom-pedro-i-1798-1834/",-22.906865,-43.182857
"Angelo Venosa (“Baleia”)","http://rioartecidade.com.br/baleia/",-22.96237,-43.165471
"José de Alencar (1829-1877)","http://rioartecidade.com.br/jose-de-alencar-1829-1877/",-22.932735,-43.177619
"Amilcar de Castro (sem título)","http://rioartecidade.com.br/amilcar-de-castro-sem-titulo/",-22.9884,-43.227660000000014
"Monumento aos Mortos da Segunda Guerra","http://rioartecidade.com.br/monumento-aos-mortos-da-segunda-guerra/",-22.916688,-43.173555
"O Passante","http://rioartecidade.com.br/o-passante/",-22.908164,-43.177825
"Módulo 6.5","http://rioartecidade.com.br/modulo-6-5/",-22.910472,-43.20508
"Estácio de Sá (1520-1567)","http://rioartecidade.com.br/estacio-de-sa-1520-1567/",-22.939918,-43.169698
"Mulher com Ânfora","http://rioartecidade.com.br/mulher-com-anfora/",-22.900579,-43.177042
"Cuauhtémoc (1502-1525)","http://rioartecidade.com.br/cuauhtemoc-1502-1525/",-22.937829,-43.173094
"Cubo Virtual","http://rioartecidade.com.br/cubo-virtual/",-22.914089,-43.171911
"J. Carlos (1884-1950)","http://rioartecidade.com.br/j-carlos-1884-1950/",-22.960605,-43.203263
"Chafariz das Saracuras","http://rioartecidade.com.br/chafariz-das-saracuras/",-22.985173,-43.197796
"Mural (Paulo Werneck)","http://rioartecidade.com.br/mural-2/",-22.900455,-43.17812
"Escultura para o Rio","http://rioartecidade.com.br/escultura-para-o-rio/",-22.910993,-43.171552
"Grafites","http://rioartecidade.com.br/grafite-e-cidade/",-22.961925,-43.215044
"Mural (Aloisio Carvão)","http://rioartecidade.com.br/mural-3/",-22.978473,-43.225619
"Crepúsculo","http://rioartecidade.com.br/crepusculo-2/",-22.942445,-43.180607
"Chafariz da Praça Xavier de Brito","http://rioartecidade.com.br/chafariz-da-praca-xavier-de-brito/",-22.93201,-43.243452
"Eco e Narciso","http://rioartecidade.com.br/eco-e-narciso/",-22.96759,-43.224045
"Chafariz do Jardim do Monroe","http://rioartecidade.com.br/chafariz-do-jardim-do-monroe/",-22.912433,-43.175481
"Marechal Floriano Peixoto (1839-1895)","http://rioartecidade.com.br/marechal-floriano-peixoto-1839-1895/",-22.910783,-43.175726
"Almirante Barroso (1804-1882)","http://rioartecidade.com.br/almirante-barroso-1804-1882/",-22.918516,-43.175937
"Manequinho","http://rioartecidade.com.br/manequinho/",-22.954997,-43.177628
"Carlos Gomes (1836-1896)","http://rioartecidade.com.br/carlos-gomes-1836-1896/",-22.909528,-43.176565
"Monumento ao Descobrimento","http://rioartecidade.com.br/monumento-ao-descobrimento/",-22.919919,-43.175932
"Duque de Caxias (1803-1880)","http://rioartecidade.com.br/duque-de-caxias-1803-1880/",-22.90406,-43.189237
"General Osório (1808-1879)","http://rioartecidade.com.br/general-osorio-18081879/",-22.903139,-43.174585
"João Caetano (1808-1863)","http://rioartecidade.com.br/joao-caetano-1808-1863/",-22.906321,-43.182233
"Jose Bonifácio de Andrada e Silva (1763-1838)","http://rioartecidade.com.br/jose-bonifacio-de-andrada-e-silva-1763-1838/",-22.905113,-43.180859
"Chafariz de Grandjean de Montigny","http://rioartecidade.com.br/chafariz-de-grandjean-de-montigny/",-22.961372,-43.27320800000001
"Fonte dos Amores e Fonte do Menino","http://rioartecidade.com.br/fonte-dos-amores/",-22.913813,-43.175953
"Escritos de Gentileza","http://rioartecidade.com.br/rio-com-gentileza/",-22.889836,-43.217769
"Ponte dos Jesuítas","http://rioartecidade.com.br/ponte-dos-jesuitas/",-22.872409,-43.676791
"Maternidade","http://rioartecidade.com.br/maternidade/",-22.943455,-43.181488
"Santos Dumont (1873-1932)","http://rioartecidade.com.br/santos-dumont-1873-1932/",-22.911613,-43.167762
"Chopin (1810-1849)","http://rioartecidade.com.br/chopin-1810-1849/",-22.955118,-43.164971
"Mnto. aos Heróis de Lagunas e Dourados","http://rioartecidade.com.br/monumento-aos-herois-de-lagunas-e-dourados/",-22.95495,-43.165857
"Pequeno Jornaleiro","http://rioartecidade.com.br/pequeno-jornaleiro/",-22.905189,-43.178034
"Zumbi dos Palmares (1655-1695)","http://rioartecidade.com.br/zumbi-dos-palmares-1655-1695/",-22.906894,-43.196504
"Pinheiro Machado (1851-1915)","http://rioartecidade.com.br/pinheiro-machado-1851-1915/",-22.983666,-43.205999
"Monumento à Juventude","http://rioartecidade.com.br/monumento-a-juventude/",-22.910847,-43.23354
"Chafariz da Praça Ben Gurion","http://rioartecidade.com.br/chafariz-da-praca-ben-gurion/",-22.938323,-43.190607
"São Sebastião","http://rioartecidade.com.br/sao-sebastiao-250-288/",-22.921819,-43.174051
"Lazar Segall (1891-1957)","http://rioartecidade.com.br/lazar-segall-1891-1957/",-22.922067,-43.172964
"Machado de Assis (1839-1908)","http://rioartecidade.com.br/machado-de-assis-1839-1908/",-22.910662,-43.172898
"Tiradentes (1746-1792)","http://rioartecidade.com.br/tiradentes-1746-1792/",-22.904184,-43.174344
"Benjamin Constant (1767-1830)","http://rioartecidade.com.br/benjamin-constant-1767-1830/",-22.906637,-43.188511
"Clarisse Indio do Brasil (1864-1919)","http://rioartecidade.com.br/clarisse-indio-do-brasil-1864-1919/",-22.953131,-43.196823
"Francisco Pereira Passos (1836-1913)","http://rioartecidade.com.br/francisco-pereira-passos-1836-1913/",-22.901189,-43.178887
"Castro Alves (1847-1871)","http://rioartecidade.com.br/castro-alves-1847-1871/",-22.913239,-43.176763
"Visconde de Mauá (1813-1889)","http://rioartecidade.com.br/visconde-de-maua-1813-1889/",-22.896663,-43.181167
"Cristo Redentor","http://rioartecidade.com.br/cristo-redentor-2/",-22.951906,-43.21156300000001
"Estátua da Liberdade","http://rioartecidade.com.br/estatua-da-liberdade/",-22.856298,-43.49258
"Chafariz da Praça São Salvador","http://rioartecidade.com.br/chafariz-da-praca-sao-salvador/",-22.933967,-43.180329
"Poesia em Ruínas","http://rioartecidade.com.br/poesia-em-ruinas-2/",-22.942183,-43.180301
"Mural (Roberto Burle Marx)","http://rioartecidade.com.br/mural-roberto-burle-marx/",-22.962762,-43.209792